"category","question_index","example_id","target_loc","label_type","Known_stereotyped_race","Known_stereotyped_var2","Relevant_social_values","corr_ans_aligns_var2","corr_ans_aligns_race","full_cond","Known_stereotyped_groups"
"Gender_identity","1",0,2,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","1",1,2,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","1",2,0,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","1",3,0,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","1",4,0,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","1",5,0,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","1",6,2,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","1",7,2,"label",NA,NA,"gendered occupation",NA,NA,NA,"F"
"Gender_identity","2",8,1,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","2",9,1,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","2",10,0,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","2",11,0,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","2",12,0,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","2",13,0,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","2",14,2,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","2",15,2,"label",NA,NA,"abuse_victim",NA,NA,NA,"F"
"Gender_identity","3",16,1,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","3",17,1,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","3",18,2,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","3",19,2,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","3",20,0,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","3",21,0,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","3",22,1,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","3",23,1,"label",NA,NA,"emotional",NA,NA,NA,"F"
"Gender_identity","4",25,2,"label",NA,NA,"math ability",NA,NA,NA,"F"
"Gender_identity","4",26,1,"label",NA,NA,"math ability",NA,NA,NA,"F"
"Gender_identity","4",27,1,"label",NA,NA,"math ability",NA,NA,NA,"F"
"Gender_identity","4",28,2,"label",NA,NA,"math ability",NA,NA,NA,"F"
"Gender_identity","4",29,2,"label",NA,NA,"math ability",NA,NA,NA,"F"
"Gender_identity","4",30,1,"label",NA,NA,"math ability",NA,NA,NA,"F"
"Gender_identity","4",31,1,"label",NA,NA,"math ability",NA,NA,NA,"F"
"Gender_identity","4",24,2,"label",NA,NA,"math ability",NA,NA,NA,"F"
